genename	gene	chrom	start	end	strand	length
ABHD4	ENSG00000100439.6	14	23067146	23081265	+	14119
ABHD5	ENSG00000011198.3	3	43731605	43775863	+	44258
ABHD6	ENSG00000163686.9	3	58223233	58281420	+	58187
ABHD8	ENSG00000127220.5	19	17402940	17421045	-	18105
ABI1	ENSG00000136754.12	10	27035522	27150016	-	114494
ABI2	ENSG00000138443.11	2	204192942	204312446	+	119504
ABI3	ENSG00000108798.4	17	47287589	47300587	+	12998
ABI3BP	ENSG00000154175.12	3	100468000	100712359	-	244359
ABL1	ENSG00000097007.13	9	133589333	133763062	+	173729
ABL2	ENSG00000143322.15	1	179068462	179198819	-	130357
ABLIM1	ENSG00000099204.14	10	116190872	116444762	-	253890
ABLIM2	ENSG00000163995.14	4	7967039	8160559	-	193520
ABLIM3	ENSG00000173210.15	5	148521046	148640105	+	119059
ABR	ENSG00000159842.10	17	906758	1132315	-	225557
ABRA	ENSG00000174429.3	8	107771711	107782473	-	10762
ABRACL	ENSG00000146386.7	6	139349819	139364439	+	14620
ABT1	ENSG00000146109.3	6	26597180	26600278	+	3098
ABTB1	ENSG00000114626.13	3	127391778	127399768	+	7990
ABTB2	ENSG00000166016.4	11	34172535	34379555	-	207020
AC002451.1	ENSG00000269449.1	7	95171457	95173854	+	2397
AC002472.13	ENSG00000187905.6	22	21400249	21418457	+	18208
AC004017.1	ENSG00000268948.1	19	58203868	58204128	-	260
AC004381.6	ENSG00000005189.15	16	20817751	20860987	+	43236
AC004466.1	ENSG00000268069.1	12	48178706	48179787	+	1081
AC004899.1	ENSG00000267970.1	7	48887362	48891221	+	3859
AC005003.1	ENSG00000213888.2	22	31742875	31744670	+	1795
AC005008.2	ENSG00000237896.2	7	80804824	80828431	+	23607
AC005082.1	ENSG00000214871.3	7	23210760	23234503	+	23743
AC005358.1	ENSG00000273452.1	17	12626199	12661542	+	35343
AC005481.5	ENSG00000222012.1	7	157406715	157411457	+	4742
AC005609.1	ENSG00000249034.1	5	140240341	140243224	-	2883
AC005841.1	ENSG00000206044.3	12	2958397	2966213	-	7816
AC006116.20	ENSG00000267710.1	19	56784138	56821819	+	37681
AC006126.3	ENSG00000266958.1	19	45690646	45720191	+	29545
AC006132.1	ENSG00000267757.1	19	46144752	46146098	+	1346
AC006372.1	ENSG00000236669.1	7	157318477	157320019	+	1542
AC006486.1	ENSG00000204957.1	19	42746927	42749125	+	2198
AC006547.14	ENSG00000234409.4	22	20135950	20138399	-	2449
AC006946.15	ENSG00000235478.1	22	17602476	17612994	+	10518
AC007375.1	ENSG00000269883.1	14	77607026	77609339	+	2313
AC007382.1	ENSG00000268688.1	2	37068327	37068530	-	203
AC007390.5	ENSG00000218739.5	2	37423631	37443336	+	19705
AC007401.2	ENSG00000217075.1	2	36758948	36779411	-	20463
AC007405.2	ENSG00000222033.1	2	171568961	171571077	-	2116
AC007461.1	ENSG00000267893.1	17	70036164	70036872	+	708
AC007952.5	ENSG00000228157.2	17	18996287	19000150	+	3863
AC007952.6	ENSG00000197665.5	17	19059040	19062424	-	3384
AC008060.7	ENSG00000218672.1	7	155174771	155189051	+	14280
AC008132.13	ENSG00000161103.7	22	18834324	18848562	+	14238
AC008267.1	ENSG00000267941.1	7	65939543	65940709	+	1166
AC008271.1	ENSG00000231031.2	2	15830906	15884463	+	53557
AC009065.1	ENSG00000167970.6	16	2303738	2312343	+	8605
AC009403.2	ENSG00000216895.4	7	155403925	155437899	-	33974
AC010327.2	ENSG00000269808.1	19	55738587	55741647	+	3060
AC010336.1	ENSG00000214248.2	19	7963689	7968427	-	4738
AC010536.1	ENSG00000226180.2	16	87727144	87729753	-	2609
AC011239.1	ENSG00000224361.1	2	23729913	23747214	-	17301
AC011294.3	ENSG00000233539.2	7	46713383	46799449	-	86066
AC011500.1	ENSG00000213922.1	19	39930212	39932082	+	1870
AC011551.3	ENSG00000268423.1	19	47050313	47104118	-	53805
AC011997.1	ENSG00000222017.1	2	198557830	198639547	+	81717
AC012123.1	ENSG00000228835.1	18	30349758	30354376	+	4618
AC012313.1	ENSG00000269855.1	19	58907457	58908407	+	950
AC013269.5	ENSG00000184761.7	2	131296668	131307456	-	10788
AC016251.1	ENSG00000205148.1	15	96831280	96831660	-	380
AC016586.1	ENSG00000205147.3	19	4041127	4043154	-	2027
AC016722.1	ENSG00000222005.4	2	47043807	47049796	+	5989
AC016722.2	ENSG00000239332.1	2	47043836	47086146	+	42310
AC016757.3	ENSG00000186235.6	2	239133193	239140318	-	7125
AC016885.1	ENSG00000268080.1	8	94241867	94242388	+	521
AC018755.1	ENSG00000167765.3	19	52095036	52097630	-	2594
AC018816.3	ENSG00000235978.2	3	4855978	4928977	-	72999
AC019171.1	ENSG00000269210.1	2	39186764	39187483	-	719
AC019294.1	ENSG00000256530.1	15	76030311	76031568	+	1257
AC020907.1	ENSG00000179066.6	19	35596873	35598141	+	1268
AC021218.2	ENSG00000204876.4	7	155755326	155759037	+	3711
AC021860.1	ENSG00000196355.2	4	38628029	38666430	-	38401
AC022400.2	ENSG00000267964.1	10	75531935	75532378	-	443
AC022431.2	ENSG00000225940.1	5	55807394	55902059	-	94665
AC022498.1	ENSG00000213132.2	3	187896331	187898598	+	2267
AC022532.1	ENSG00000197604.4	10	72194585	72196314	+	1729
AC023469.1	ENSG00000222031.1	2	151857734	151905288	-	47554
AC023590.1	ENSG00000225885.2	8	119294378	119412844	+	118466
AC024257.1	ENSG00000269282.1	12	48759919	48761738	+	1819
AC024580.1	ENSG00000204533.2	19	56662314	56663250	-	936
AC024940.1	ENSG00000177340.4	12	31477250	31478879	+	1629
AC025278.1	ENSG00000204752.3	19	7011514	7013338	+	1824
AC025287.1	ENSG00000214325.2	16	75728367	75734089	-	5722
AC026310.1	ENSG00000268865.1	12	25055243	25057615	+	2372
AC026740.1	ENSG00000268885.1	5	667759	668839	+	1080
AC027228.1	ENSG00000268838.1	15	78830023	78831288	+	1265
AC027307.3	ENSG00000268798.1	19	1440838	1441937	+	1099
AC027763.2	ENSG00000215067.5	17	6779954	6915668	-	135714
AC061992.1	ENSG00000268965.1	17	76422409	76422834	+	425
AC062017.1	ENSG00000222020.2	2	240323130	240324058	+	928
AC068620.1	ENSG00000268171.1	4	57276682	57277131	+	449
AC069547.1	ENSG00000269165.1	10	52094298	52095876	+	1578
AC073343.1	ENSG00000198580.6	7	6713376	6715991	+	2615
AC073657.1	ENSG00000268632.1	15	42073346	42076229	-	2883
AC074091.13	ENSG00000205334.2	2	27928653	27938599	-	9946
AC078925.1	ENSG00000268091.1	12	131514221	131514769	-	548
AC079210.1	ENSG00000269657.1	17	66539369	66542970	+	3601
AC079341.1	ENSG00000226757.1	4	122685740	122687962	+	2222
AC079354.2	ENSG00000267889.1	2	203104292	203104435	+	143
AC087477.1	ENSG00000268484.1	15	96904487	96904900	+	413
AC090616.2	ENSG00000214708.4	17	30468245	30470154	-	1909
AC091801.1	ENSG00000217455.4	7	3179868	3214287	-	34419
AC092675.3	ENSG00000222000.3	2	98947852	98972468	-	24616
AC092811.1	ENSG00000203691.2	1	225600404	225602040	+	1636
AC092850.1	ENSG00000267819.1	12	131780067	131782763	+	2696
AC092964.2	ENSG00000267979.1	3	172019438	172019686	-	248
AC093157.1	ENSG00000269175.1	1	101455761	101457653	+	1892
AC093677.1	ENSG00000269559.1	4	75023327	75024085	-	758
AC093802.1	ENSG00000220256.3	2	240684554	240724577	+	40023
AC096677.1	ENSG00000269690.1	1	201592013	201592738	+	725
AC097381.1	ENSG00000228919.3	4	7940728	7942022	+	1294
AC102948.2	ENSG00000226364.1	17	50939481	50976948	+	37467
AC104057.1	ENSG00000269558.1	7	65112081	65113280	-	1199
AC104472.1	ENSG00000214919.2	3	155459933	155461515	-	1582
AC104667.3	ENSG00000234949.2	2	238499663	238504624	+	4961
AC104809.3	ENSG00000226321.3	2	241858202	241932728	+	74526
AC105020.1	ENSG00000203392.2	15	75970672	75973093	+	2421
AC106876.2	ENSG00000222001.2	2	233877324	233880595	+	3271
AC107021.1	ENSG00000232013.1	3	145782358	145784156	+	1798
AC109829.1	ENSG00000233438.1	2	27760253	27790011	+	29758
AC110619.2	ENSG00000218416.3	2	241388732	241396131	-	7399
AC110771.1	ENSG00000269302.1	4	187111913	187112626	-	713
AC110781.3	ENSG00000176349.7	7	1878222	1889567	+	11345
AC112715.2	ENSG00000224132.2	2	238165734	238166319	+	585
AC114494.1	ENSG00000268950.1	1	31902192	31902614	-	422
AC114783.1	ENSG00000237524.3	2	127656472	127659673	+	3201
AC116407.2	ENSG00000269402.1	17	30506379	30506885	-	506
AC117395.1	ENSG00000268175.1	3	149689066	149690535	+	1469
AC124890.1	ENSG00000251695.2	12	69186125	69187743	+	1618
AC127496.1	ENSG00000175911.4	17	78977135	78978932	+	1797
AC129492.6	ENSG00000214999.3	17	7982800	7984883	+	2083
AC131097.4	ENSG00000216921.3	2	242836136	242844702	-	8566
AC131971.1	ENSG00000183562.2	11	3011093	3012563	+	1470
AC132186.1	ENSG00000247270.2	16	66516775	66519747	-	2972
AC132192.1	ENSG00000268403.1	11	9481747	9482010	-	263
AC132872.2	ENSG00000268852.1	17	80214131	80216080	+	1949
AC135048.1	ENSG00000268863.1	16	30996808	30997533	-	725
AC135178.1	ENSG00000198150.2	17	8261731	8263538	-	1807
AC137932.1	ENSG00000268218.1	16	89334512	89339452	+	4940
AC138647.1	ENSG00000226490.1	8	142524738	142528837	+	4099
AC138655.1	ENSG00000269563.1	2	47799601	47801998	+	2397
AC138969.4	ENSG00000183889.8	16	16411301	16444447	+	33146
AC139100.2	ENSG00000267270.1	18	77905807	77936315	+	30508
AC139426.2	ENSG00000233812.2	15	32694108	32695493	-	1385
AC140481.2	ENSG00000183292.8	2	131328402	131341734	+	13332
AC145676.2	ENSG00000249852.1	7	227554	229557	-	2003
AC187652.1	ENSG00000269396.1	7	302918	304070	+	1152
AC226150.4	ENSG00000255748.1	12	133787246	133787772	-	526
ACAA1	ENSG00000060971.13	3	38144620	38178733	-	34113
ACAA2	ENSG00000167315.13	18	47309869	47340330	-	30461
ACACA	ENSG00000132142.15	17	35441923	35766909	-	324986
ACACB	ENSG00000076555.11	12	109554400	109706031	+	151631
ACAD10	ENSG00000111271.10	12	112123857	112194903	+	71046
ACAD11	ENSG00000240303.3	3	132276982	132379567	-	102585
ACAD8	ENSG00000151498.7	11	134123389	134135749	+	12360
ACAD9	ENSG00000177646.13	3	128598439	128634910	+	36471
ACADL	ENSG00000115361.3	2	211052663	211090215	-	37552
ACADM	ENSG00000117054.9	1	76190036	76253260	+	63224
ACADS	ENSG00000122971.4	12	121163538	121177811	+	14273
ACADSB	ENSG00000196177.8	10	124768495	124817827	+	49332
ACADVL	ENSG00000072778.15	17	7120444	7128592	+	8148
ACAN	ENSG00000157766.11	15	89346674	89418585	+	71911
ACAP1	ENSG00000072818.7	17	7239848	7254797	+	14949
ACAP2	ENSG00000114331.8	3	194995465	195163807	-	168342
ACAP3	ENSG00000131584.14	1	1227756	1244989	-	17233
ACAT1	ENSG00000075239.9	11	107992243	108018503	+	26260
ACAT2	ENSG00000120437.7	6	160181360	160200144	+	18784
ACBD3	ENSG00000182827.8	1	226332380	226374431	-	42051
ACBD4	ENSG00000181513.10	17	43209967	43221548	+	11581
ACBD5	ENSG00000107897.14	10	27484146	27531059	-	46913
ACBD6	ENSG00000135847.5	1	180244515	180472089	-	227574
ACBD7	ENSG00000176244.6	10	15119522	15130775	-	11253
ACCS	ENSG00000110455.9	11	44087475	44105772	+	18297
ACCSL	ENSG00000205126.2	11	44069531	44081527	+	11996
ACD	ENSG00000102977.9	16	67691415	67694713	-	3298
ACE	ENSG00000159640.10	17	61562184	61599209	+	37025
ACER1	ENSG00000167769.4	19	6306153	6333640	-	27487
ACER2	ENSG00000177076.4	9	19408925	19452018	+	43093
ACER3	ENSG00000078124.7	11	76571911	76737841	+	165930
ACHE	ENSG00000087085.9	7	100487615	100494594	-	6979
ACIN1	ENSG00000100813.10	14	23527773	23564823	-	37050
ACKR2	ENSG00000144648.10	3	42846244	42929466	+	83222
ACKR3	ENSG00000144476.5	2	237476430	237491001	+	14571
ACKR4	ENSG00000129048.6	3	132316081	132337811	+	21730
ACLY	ENSG00000131473.12	17	40023161	40086795	-	63634
ACN9	ENSG00000196636.7	7	96745902	96811075	+	65173
ACO1	ENSG00000122729.14	9	32384618	32454767	+	70149
ACO2	ENSG00000100412.11	22	41865129	41924993	+	59864
ACOT1	ENSG00000184227.3	14	74003818	74010498	+	6680
ACOT11	ENSG00000162390.13	1	55007930	55104865	+	96935
ACOT12	ENSG00000172497.4	5	80625824	80689998	-	64174
ACOT13	ENSG00000112304.6	6	24667263	24705293	+	38030
ACOT2	ENSG00000119673.10	14	74034324	74042357	+	8033
ACOT4	ENSG00000177465.4	14	74058410	74063200	+	4790
ACOT6	ENSG00000205669.2	14	74077649	74086592	+	8943
ACOT7	ENSG00000097021.15	1	6324329	6454451	-	130122
ACOT8	ENSG00000101473.12	20	44470360	44486045	-	15685
ACOX1	ENSG00000161533.7	17	73937588	73975515	-	37927
ACOX2	ENSG00000168306.8	3	58490863	58523046	-	32183
ACOX3	ENSG00000087008.11	4	8368009	8442450	-	74441
ACOXL	ENSG00000153093.14	2	111490150	111875799	+	385649
ACP1	ENSG00000143727.11	2	264140	278283	+	14143
ACP2	ENSG00000134575.5	11	47260853	47270457	-	9604
ACP5	ENSG00000102575.6	19	11685475	11689823	-	4348
ACP6	ENSG00000162836.7	1	147101453	147142618	-	41165
ACPL2	ENSG00000155893.7	3	140947568	141013748	+	66180
ACPP	ENSG00000014257.11	3	132036211	132087142	+	50931
ACPT	ENSG00000142513.4	19	51293672	51298481	+	4809
ACR	ENSG00000100312.6	22	51176624	51183762	+	7138
ACRBP	ENSG00000111644.3	12	6747241	6756626	-	9385
ACRV1	ENSG00000134940.9	11	125541417	125551018	-	9601
ACSBG1	ENSG00000103740.5	15	78459810	78538030	-	78220
ACSBG2	ENSG00000130377.9	19	6135258	6193112	+	57854
ACSF2	ENSG00000167107.8	17	48503519	48552206	+	48687
ACSF3	ENSG00000176715.11	16	89154783	89222254	+	67471
ACSL1	ENSG00000151726.9	4	185676749	185747972	-	71223
ACSL3	ENSG00000123983.9	2	223725652	223809357	+	83705
ACSL5	ENSG00000197142.6	10	114133776	114188138	+	54362
ACSL6	ENSG00000164398.8	5	131142683	131347936	-	205253
ACSM1	ENSG00000166743.5	16	20634559	20710212	-	75653
ACSM2A	ENSG00000183747.7	16	20462783	20498991	+	36208
ACSM2B	ENSG00000066813.10	16	20547548	20587749	-	40201
ACSM3	ENSG00000005187.7	16	20621565	20808903	+	187338
ACSM4	ENSG00000215009.5	12	7456880	7481320	+	24440
ACSM5	ENSG00000183549.6	16	20420856	20452658	+	31802
ACSS1	ENSG00000154930.10	20	24986868	25039616	-	52748
ACSS2	ENSG00000131069.15	20	33459949	33515769	+	55820
ACSS3	ENSG00000111058.3	12	81331594	81650533	+	318939
ACTA1	ENSG00000143632.10	1	229566992	229569845	-	2853
ACTA2	ENSG00000107796.8	10	90694831	90751147	-	56316
ACTB	ENSG00000075624.9	7	5566782	5603415	-	36633
ACTBL2	ENSG00000169067.2	5	56775846	56778636	-	2790
ACTC1	ENSG00000159251.6	15	35080297	35088340	-	8043
ACTG1	ENSG00000184009.5	17	79476997	79490873	-	13876
ACTG2	ENSG00000163017.9	2	74119441	74146992	+	27551
ACTL10	ENSG00000182584.4	20	32254304	32256331	+	2027
ACTL6A	ENSG00000136518.12	3	179280668	179306196	+	25528
ACTL6B	ENSG00000077080.5	7	100240720	100254084	-	13364
ACTL7A	ENSG00000187003.5	9	111624603	111626035	+	1432
ACTL8	ENSG00000117148.6	1	18081808	18153558	+	71750
ACTN1	ENSG00000072110.9	14	69340860	69446157	-	105297
ACTN2	ENSG00000077522.8	1	236849754	236927931	+	78177
ACTN4	ENSG00000130402.7	19	39138289	39222223	+	83934
ACTR10	ENSG00000131966.9	14	58666798	58701750	+	34952
ACTR1A	ENSG00000138107.7	10	104238986	104262482	-	23496
ACTR1B	ENSG00000115073.6	2	98272431	98280570	-	8139
ACTR2	ENSG00000138071.9	2	65454887	65498387	+	43500
ACTR3	ENSG00000115091.7	2	114647537	114720173	+	72636
ACTR3B	ENSG00000133627.13	7	152456834	152552463	+	95629
ACTR3C	ENSG00000106526.6	7	149941005	150020814	-	79809
ACTR5	ENSG00000101442.8	20	37377085	37400834	+	23749
ACTR6	ENSG00000075089.5	12	100592900	100635643	+	42743
ACTR8	ENSG00000113812.9	3	53901093	53916229	-	15136
ACTRT2	ENSG00000169717.5	1	2938046	2939465	+	1419
ACTRT3	ENSG00000184378.2	3	169484709	169487683	-	2974
ACVR1	ENSG00000115170.9	2	158592958	158732374	-	139416
ACVR1B	ENSG00000135503.8	12	52345451	52390862	+	45411
ACVR1C	ENSG00000123612.11	2	158383279	158485517	-	102238
ACVR2A	ENSG00000121989.10	2	148602086	148688393	+	86307
ACVR2B	ENSG00000114739.9	3	38495342	38534633	+	39291
ACVRL1	ENSG00000139567.8	12	52300692	52317145	+	16453
ACY1	ENSG00000243989.3	3	52009066	52023213	+	14147
ACY3	ENSG00000132744.3	11	67410026	67418130	-	8104
ACYP1	ENSG00000119640.4	14	75519924	75536186	-	16262
ACYP2	ENSG00000170634.8	2	54197975	54532437	+	334462
ADA	ENSG00000196839.8	20	43248163	43280874	-	32711
ADAD1	ENSG00000164113.6	4	123300121	123350957	+	50836
ADAD2	ENSG00000140955.6	16	84224744	84230774	+	6030
ADAL	ENSG00000168803.10	15	43622872	43646096	+	23224
ADAM10	ENSG00000137845.10	15	58887403	59042177	-	154774
ADAM11	ENSG00000073670.9	17	42836399	42859214	+	22815
ADAM12	ENSG00000148848.10	10	127700950	128077024	-	376074
ADAM15	ENSG00000143537.9	1	155023042	155035252	+	12210
ADAM17	ENSG00000151694.8	2	9628615	9695921	-	67306
ADAM18	ENSG00000168619.11	8	39442008	39587583	+	145575
ADAM19	ENSG00000135074.11	5	156822542	157002783	-	180241
ADAM2	ENSG00000104755.10	8	39601254	39695808	-	94554
ADAM20	ENSG00000134007.3	14	70989075	71001732	-	12657
ADAM21	ENSG00000139985.5	14	70918874	70926622	+	7748
ADAM22	ENSG00000008277.10	7	87563458	87832204	+	268746
ADAM23	ENSG00000114948.8	2	207308263	207485851	+	177588
ADAM28	ENSG00000042980.8	8	24151553	24216531	+	64978
ADAM29	ENSG00000168594.11	4	175750819	175899331	+	148512
ADAM32	ENSG00000197140.10	8	38964509	39142430	+	177921
ADAM33	ENSG00000149451.13	20	3648612	3662893	-	14281
ADAM7	ENSG00000069206.11	8	24298443	24384483	+	86040
ADAM8	ENSG00000151651.11	10	135075907	135090372	-	14465
ADAM9	ENSG00000168615.7	8	38854388	38962663	+	108275
ADAMDEC1	ENSG00000134028.10	8	24241798	24263526	+	21728
ADAMTS1	ENSG00000154734.10	21	28208066	28217728	-	9662
ADAMTS10	ENSG00000142303.9	19	8645126	8675620	-	30494
ADAMTS12	ENSG00000151388.6	5	33523640	33892297	-	368657
ADAMTS13	ENSG00000160323.14	9	136279478	136324508	+	45030
ADAMTS14	ENSG00000138316.6	10	72432559	72522197	+	89638
ADAMTS15	ENSG00000166106.2	11	130318869	130346532	+	27663
ADAMTS16	ENSG00000145536.11	5	5140443	5320417	+	179974
ADAMTS17	ENSG00000140470.9	15	100511794	100882210	-	370416
ADAMTS18	ENSG00000140873.11	16	77281710	77469011	-	187301
ADAMTS19	ENSG00000145808.4	5	128795958	129074376	+	278418
ADAMTS2	ENSG00000087116.9	5	178537852	178772431	-	234579
ADAMTS20	ENSG00000173157.12	12	43747669	43945724	-	198055
ADAMTS3	ENSG00000156140.4	4	73146686	73434516	-	287830
ADAMTS4	ENSG00000158859.9	1	161154098	161168846	-	14748
ADAMTS5	ENSG00000154736.5	21	28290231	28338832	-	48601
ADAMTS6	ENSG00000049192.10	5	64444563	64777747	-	333184
ADAMTS7	ENSG00000136378.10	15	79051545	79103773	-	52228
ADAMTS8	ENSG00000134917.9	11	130274820	130298888	-	24068
ADAMTS9	ENSG00000163638.9	3	64501333	64673676	-	172343
ADAMTSL1	ENSG00000178031.11	9	18473892	18910948	+	437056
ADAMTSL2	ENSG00000197859.5	9	136397286	136440641	+	43355
ADAMTSL3	ENSG00000156218.8	15	84322838	84708594	+	385756
ADAMTSL4	ENSG00000143382.9	1	150521884	150533413	+	11529
ADAMTSL4-AS1	ENSG00000203804.3	1	150533480	150533969	-	489
ADAMTSL5	ENSG00000185761.6	19	1505017	1513603	-	8586
ADAP1	ENSG00000105963.9	7	937540	995043	-	57503
ADAP2	ENSG00000184060.6	17	29233362	29286340	+	52978
ADAR	ENSG00000160710.11	1	154554538	154600475	-	45937
ADARB1	ENSG00000197381.11	21	46493768	46646478	+	152710
ADARB2	ENSG00000185736.11	10	1228073	1779670	-	551597
ADAT1	ENSG00000065457.6	16	75630879	75657198	-	26319
ADAT2	ENSG00000189007.11	6	143743969	143771810	-	27841
ADAT3	ENSG00000213638.4	19	1905377	1913444	+	8067
ADC	ENSG00000142920.12	1	33546705	33586131	+	39426
ADCK1	ENSG00000063761.11	14	78266426	78401355	+	134929
ADCK2	ENSG00000133597.5	7	140372953	140396061	+	23108
ADCK3	ENSG00000163050.12	1	227085237	227175246	+	90009
ADCK4	ENSG00000123815.7	19	41197434	41224112	-	26678
ADCK5	ENSG00000173137.7	8	145596790	145618457	+	21667
ADCY1	ENSG00000164742.10	7	45613739	45762715	+	148976
ADCY10	ENSG00000143199.13	1	167778625	167883453	-	104828
ADCY2	ENSG00000078295.11	5	7396321	7830194	+	433873
ADCY3	ENSG00000138031.10	2	25042038	25142708	-	100670
ADCY4	ENSG00000129467.9	14	24787555	24804299	-	16744
ADCY5	ENSG00000173175.10	3	123001143	123168605	-	167462
ADCY6	ENSG00000174233.7	12	49159975	49182820	-	22845
ADCY7	ENSG00000121281.8	16	50280048	50352046	+	71998
ADCY8	ENSG00000155897.5	8	131792547	132054672	-	262125
ADCY9	ENSG00000162104.5	16	4003388	4166186	-	162798
